"","Comp1","Comp2","Comp3"
"LFxTRC5001",-0.000189315465554146,-0.0135729232499043,0.00816265893246743
"LFxTRC5002",-0.0366307165757439,0.01702165592671,0.00444129333876456
"LFxTRC5003",0.00668329037727973,0.0163082421658286,-0.00266697497586851
"LFxTRC5004",-0.0214714444641535,0.00951611705894345,-0.00281833587044391
"LFxTRC5005",0.00335419025471875,0.00773691036380801,0.00639178181725194
"LFxTRC5007",0.0293305817218023,-0.0370015818165002,-0.00916017446089145
"LFxTRC5008",-0.0213291973478091,0.0192531797481378,-0.00386651616773425
"LFxTRC5010",-0.0119978815013055,0.0144858395918536,-0.00179342617724526
"LFxTRC5012",0.00431104611032776,-0.00261954721932573,-0.00565027176572778
"LFxTRC5013",-0.0601609696557378,-0.00430476753599564,0.00446920748140747
"LFxTRC5014",0.0324413134031699,0.00367295101736608,-0.012553733045384
"LFxTRC5015",-0.0246045862437534,0.000154320237194641,-0.00850508392634463
"LFxTRC5016",-0.0173334267242437,0.0173701921691808,0.00476097879561136
"LFxTRC5017",0.0157593193208449,-0.00444110863792789,-0.0014674730171292
"LFxTRC5018",0.0260870298600909,-0.00530595130269878,-0.00521932715084059
"LFxTRC5019",-0.00538189670604069,-0.00289358558405147,-0.0200568866182436
"LFxTRC5022",-0.0188582811347314,-0.00197093096064406,0.00632741257368975
"LFXTRC5030",0.0204111585482868,-0.0127709399225703,0.00345284256369676
"LFXTRC5031",-0.0295886562886472,-0.00474176164230979,-0.0211072362449975
"LFXTRC5032",-0.00510125127577599,-0.0218230660219662,0.000861728518903458
"LFXTRC5033",-0.0209741693889047,-0.00374612889458775,0.0031173480256676
"LFXTRC5034",-0.0175998562768108,0.00442885259544087,-0.00752321647474067
"LFXTRC5035",-0.00715275385712998,-0.0091404621182504,-0.0104800023058758
"LFXTRC5036",-0.00622217880205445,-0.00360478834786601,0.00242607657268325
"LFXTRC5037",-0.0602182510313286,0.0147212574787122,-0.00034410435077017
"LFXTRC5038",0.0128342435648225,-0.00475650172623804,-0.00519192929031995
"LFXTRC5039",-0.00960108070358764,0.00777219165779885,-0.0161845613054093
"LFXTRC5040",-0.0152311676190569,-0.000973485089865971,-0.00800278548894415
"LFXTRC5041",0.0411096720309714,-0.0240723183637957,-0.0146824442105859
"LFxTRC5042",0.0255895456656911,-0.00496370563256036,-0.00213563232732433
"LFxTRC5046",-0.0359974121115661,0.0141950140781457,0.00239192431617814
"LFxTRC5047",-0.00509971929815556,-0.00936899889383053,-0.0145459766833059
"LFxTRC5048",-0.0152745042234386,0.0125511423917621,-0.00375074373706278
"LFxTRC5049",-0.043314987260213,0.00464030806279112,-0.00724750649869463
"LFxTRC5050",0.0290909743342009,0.00320721746645061,0.000200598555802843
"LFxTRC5051",-0.0283888681887732,0.00408060264934519,0.00108695396342749
"LFxTRC5053",0.00486041959933745,-0.0206102382860114,-0.00585867524248278
"LFxTRC5057",-0.0311851384402321,0.0112442786108832,-0.00286306687128006
"LFxTRC5058",0.00177215804906576,-0.00351291783445269,-0.0199987116065183
"LFxTRC5059",-0.0251161985698039,-0.000622825643306628,-0.00534665055549202
"LFxTRC5061",-0.0249100043544459,0.0108042357536869,0.00240731623784597
"LFxTRC5072",0.0465929286124368,0.0144392456855794,-0.00206721735208626
"LFxTRC5073",0.0147155144591788,0.000972395552862342,0.0117310338593194
"LFxTRC5074",-0.0360730714884753,-0.000586199089729502,0.0197719474309944
"LFxTRC5075",0.0320311259861475,-0.00252465181748233,0.00872798381286958
"LFxTRC5077",0.00398302076459261,0.0063455476577711,0.0097053681749682
"LFxTRC5078",0.0269358564135538,0.00340115298217102,-0.00462367924929558
"LFxTRC5079",-0.0148748126173636,-0.00698871654013881,0.0100484131989414
"LFxTRC5080",9.3652791527242e-05,-0.00759621094334128,0.00864331776735868
"LFxTRC5081",-0.0343935448860892,0.00810475515092351,-0.0114980603644047
"LFxTRC5082",-0.0673288035173165,-0.020252926126973,-0.00668488426770137
"LFxTRC5083",0.0122218083311444,-0.00461887545534926,0.00269938008803441
"LFxTRC5084",0.0378066001426385,0.0139441003091778,0.00254660304292068
"LFxTRC5085",-0.0299186417668484,0.00679615438960996,0.0132669538933953
"LFxTRC5086",-0.0128164376950055,-0.0010006465056848,0.00279181306734167
"LFxTRC5087",0.00019502348773992,-0.00194999795067213,-0.0179244315140524
"LFxTRC5088",0.00375915412824475,-0.0146520719776493,-0.00764522186587658
"LFxTRC5089",-0.0440585354573687,0.00176560340476942,-0.0156378517554604
"LFxTRC5090",-0.0149570217162106,0.0184053372645808,-0.00440292159010676
"LFxTRC5091",0.0251450153572229,-0.0366974531642211,-0.0143863907034604
"LFxTRC5092",-0.0303160884031137,0.0104025752553491,-0.00609958366254003
"LFxTRC5093",0.0226431358803447,0.011680114510901,-0.00650614575441075
"LFxTRC5094",0.000171415055871697,-0.00203260499507613,-0.0109601367631247
"LFxTRC5095",0.0327390617951637,0.00955768974093957,-0.0173667605933291
"LFxTRC5096",-0.0356550280224748,0.00483292648859127,0.00646446254696379
"LFxTRC5097",-0.0144610044713673,0.0118330842371216,0.00340328312630805
"LFxTRC5098",0.0205750747938658,-0.00026005283967251,-0.00270202605845819
"LFxTRC5099",-0.0197782918223577,0.012251839585082,-0.0180874588967934
"LFxTRC5100",-0.00621927276247954,-0.0125245865204386,-0.00464641909316074
"LFxTRC5101",-0.00971791168543907,0.00696338113594735,-0.00908917862458383
"LFxTRC5102",-0.0116394463899036,0.003983692197959,0.0020363003537716
"LFxTRC5103",0.0212305065658605,-0.00245266679532586,0.0184952537996737
"LFxTRC5104",-0.0533818500234326,0.00271692194289772,0.00801390882059258
"LFxTRC5105",-0.0220702513727148,0.000612539592133283,0.00095353141701653
"LFxTRC5106",-0.00276144718889866,0.0133084906255593,-0.00558616479191267
"LFxTRC5107",-0.01709349312312,0.0394335124900356,-0.00871106009349574
"LFxTRC5108",-0.034374431184004,0.00667824735796601,0.000696102163392183
"LFxTRC5109",-0.0192546690594369,0.00979720569675181,-0.00294731906170369
"LFxTRC5110",0.0520803877822887,0.00480036755629201,-0.0179718060546257
"LFxTRC5111",-0.00400080864039335,0.0130917483678246,-0.00676165159339826
"LFxTRC5112",-0.00519636247198796,0.0117897356141788,-0.00355423330013814
"LFxTRC5113",-0.0199572152637531,0.00468176739855619,0.00768275935029687
"LFxTRC5114",0.0117023266838367,0.0114854301415482,-0.0098223838610373
"LFxTRC5115",-0.0233754892523692,0.0121078589213479,0.00590733904862051
"LFxTRC5116",-0.0483404752662858,-0.00758644164232745,-0.00457419904490376
"LFxTRC5117",-0.00958299240712598,0.00809966417667127,-0.0221816476629694
"LFxTRC5118",0.0230955688099628,-0.0044119006165049,-0.0202129019997494
"LFxTRC5119",0.0113519871582416,0.00126413610297967,-0.0227840495464406
"LFxTRC5120",-0.0186107478082819,0.00760651772012234,-0.0107392504201904
"LFxTRC5121",-0.0314334506542826,-0.0017490764065715,0.00524233258481747
"LFxTRC5122",0.0206601621301766,-0.0199985440636912,-0.000353880534940423
"LFxTRC5123",-0.0428926775589241,-0.00190068130549077,-0.00154196632165647
"LFxTRC5124",-0.0263428381179902,-0.00425632701064881,-0.00260230073122899
"LFxTRC5125",-0.00702807892546981,0.000252749309430282,0.00698272034089321
"LFxTRC5126",-0.00415044994267035,-0.0190092028967455,0.0146076762721315
"LFxTRC5127",0.0104557003500418,0.0110749321091765,0.00793609683830827
"LFxTRC5128",-0.0105547509613946,-0.00959127645069645,0.008910153201762
"LFxTRC5129",-0.00585378447335554,0.00698499711028181,-0.0111048934475354
"LFxTRC5130",-0.0357800032132327,0.00318672879642301,0.00340194629969092
"LFxTRC5131",-0.0016865315053007,5.7543824319907e-05,0.00167295098902124
"LFxTRC5132",-0.0377740750440093,0.00288205245553238,0.00354779610563115
"LFxTRC5133",-0.0120132877293419,-0.00843390480424036,-0.00741079142784829
"LFxTRC5134",-0.0348793549189138,0.0184922227571768,0.0189985954613411
"LFxTRC5135",-0.0310183296075847,-0.00766281171986869,-0.00057122488319299
"LFxTRC5136",-0.0044398456409503,-0.0246024789187385,0.000371666778082103
"LFxTRC5137",0.0317760007191729,-0.0109496584938598,-0.00352978436179906
