"","Comp1","Comp2","Comp3"
"LFxTRC5001",-0.0175390606713757,0.00627979324555701,0.0230790268159386
"LFxTRC5002",-0.0397038219969116,-0.0181143072023038,0.0116251923461729
"LFxTRC5003",-0.00131744605056977,-0.0110473813869113,-0.0120734477056355
"LFxTRC5004",0.00678734688141008,0.0174748965329875,-0.00349698309654319
"LFxTRC5005",0.0131064883686104,-0.00838335474326713,0.0165465117375797
"LFxTRC5007",-0.00844174172102056,0.0194595655508953,0.0114723998735884
"LFxTRC5008",0.0224696302876949,0.00522139328525819,-0.0117782396694203
"LFxTRC5010",-0.00490676160094481,0.0272170245017391,-0.0150230067978188
"LFxTRC5012",0.0209264017459872,0.00272731284248106,-0.00734130406937229
"LFxTRC5013",0.0225327745556618,0.00668171790832492,-0.00805505682618067
"LFxTRC5014",-0.00671396782189149,0.0297732386005464,-0.00242723522699107
"LFxTRC5015",0.000712917352433039,0.0145512595288364,-0.0101106769382974
"LFxTRC5016",0.00968535093869924,-0.0207312802184864,-0.0152770739129872
"LFxTRC5017",-0.0452409833240769,0.0113436444194084,-0.00108508291985169
"LFxTRC5018",0.0177900085542332,-0.0233441206150815,-0.0184149189298602
"LFxTRC5019",0.0165244938495945,-0.010728561551882,-0.0301171873624889
"LFxTRC5022",0.0458518942417177,0.0371425823953218,-0.00633725950913264
"LFxTRC5030",0.0107906310095557,-0.0176818899991992,-0.0209428058037455
"LFxTRC5031",-0.0136841519096285,0.020648068896635,0.0318387533992917
"LFxTRC5032",0.0162481647249027,0.0280564161512347,0.000532865849051568
"LFxTRC5033",-0.0347439555738533,0.00355507001655725,0.0137342523979129
"LFxTRC5034",-0.0300637149527159,0.0273513665797044,0.00715639438897003
"LFxTRC5035",0.0321251185638334,0.00642691016818656,0.000206651200828322
"LFxTRC5036",-0.00352928232663001,-0.00055102624951851,0.00970542688725696
"LFxTRC5037",-0.0419102976678751,0.0306905316368755,0.00800615234935872
"LFxTRC5038",0.0138335203342713,0.0173085159063118,0.0155851881236877
"LFxTRC5039",0.0342578516254952,0.00972555260465762,-0.00160836829301429
"LFxTRC5040",0.0265231735584401,0.0312905752222422,0.00264070936771608
"LFxTRC5041",-0.0010210590789319,-0.00233251840954931,-0.0194304313320268
"LFxTRC5042",-0.0418423050589764,0.00675605634581723,0.0096516039116509
"LFxTRC5046",0.00114442312275404,0.0114644764806635,0.0113653335658429
"LFxTRC5047",0.000894413973441512,0.00612945886633513,-0.00423794409092277
"LFxTRC5048",0.0310976723496791,0.00334173298024854,0.019139263730218
"LFxTRC5049",0.0114161467442272,0.0450879169989889,0.00669235455489857
"LFxTRC5050",-6.13949547287337e-05,-0.0145794267204263,-0.00568606995149045
"LFxTRC5051",0.0137366889612774,0.00161279657417702,0.0113453529811715
