"","Comp1","Comp2","Comp3"
"LFxTRC5001",-0.0478436070492876,0.0296809732837712,-0.00862749163724481
"LFxTRC5002",-0.0320909916135492,0.0190884601957815,-0.00331312353483967
"LFxTRC5003",0.0219884838242201,0.000311103441461106,0.0113832597996117
"LFxTRC5004",-0.00267355976463785,0.0130732336269133,-0.0187158402724224
"LFxTRC5005",0.034031421019811,0.0127976202332905,-0.00881237049792218
"LFxTRC5006",-0.0143445034895415,0.0132822583721012,-0.0474759502818289
"LFxTRC5007",0.00534049390938374,0.000814570970375717,-0.0326150241739451
"LFxTRC5008",0.0331593543112829,0.0285504355902665,-0.00261748036933999
"LFxTRC5009",-0.00959772691740436,-0.00195432455613853,-0.0387483342484672
"LFxTRC5010",0.0122552009233236,-0.0325726448984072,0.00415336554598198
"LFxTRC5012",0.0134638985963718,0.0258183671151451,0.011513652198129
"LFxTRC5013",-0.0178299912326152,-0.00599423707337974,0.000203840156167096
"LFxTRC5014",-0.00372464019225948,0.0132779644992603,0.00346458221010629
"LFxTRC5015",0.0204283181250623,-0.00935681355731376,-0.0103080022006186
"LFxTRC5016",-0.0172348090106762,0.00531979628894993,-0.0110749602084231
"LFxTRC5017",-0.0171849316710729,0.0079628055307065,-0.016322735982621
"LFxTRC5018",-0.0273510264585596,0.00756331674104525,-0.0282091593307686
"LFxTRC5019",-0.0300520962602169,0.0100652618863751,-0.0253212217631859
"LFxTRC5021",0.0339369577210449,0.00892424592422198,-0.00634861608582199
"LFxTRC5022",-0.0290929545529245,-0.0117685889612918,0.00556105323991549
"LFxTRC5025",0.0237928704992785,-0.0257363783458993,-0.0452777590497924
"LFxTRC5030",-0.0176051539101056,0.0218553570990441,-0.0305488117108388
"LFxTRC5031",0.00169050141183234,0.017659541540127,-0.00432405182509355
"LFxTRC5032",0.00623690146461742,0.00883253168141999,-0.00949719252070818
"LFxTRC5033",-0.0274155889904865,-0.00604023183837174,-0.0167436202135563
"LFxTRC5034",-0.0374994745133821,0.000167540761454794,-0.00809732888385776
"LFxTRC5035",-0.0226464592572298,0.0220336219510268,0.0194905818827751
"LFxTRC5036",0.0117400476201339,0.0220081644718594,-0.0100808445534576
"LFxTRC5037",-0.000606350875846721,0.0069138493937708,-0.0134280579229577
"LFxTRC5038",-0.0351201224057754,0.0104224529291702,0.00327903006626872
"LFxTRC5039",0.0419591514156853,-0.0255184254561888,-0.0221263619435482
"LFxTRC5040",-0.00989317950644638,0.00790147146513635,0.0269442375443199
"LFxTRC5041",-0.0316787242786763,0.00236962529419917,-0.014862049488181
"LFxTRC5042",-0.0389832078040065,0.0143923094041941,-0.0329220461303519
"LFxTRC5046",0.0397312419074027,3.177856614001e-05,-0.00417225182213357
"LFxTRC5047",-0.00310408530644981,-0.0145259495442912,-0.0260175704459756
"LFxTRC5048",-0.0130683026350637,-0.0342282240669493,-0.0103141696231251
"LFxTRC5049",-0.0287863416774976,0.00709051598598024,0.0121533414001318
"LFxTRC5050",-0.0250537697182927,0.0338918071313366,-0.009809297355788
"LFxTRC5051",-0.0247796788890294,-0.0146711446747445,-0.00597804415011797
"LFxTRC5053",-0.0339989267028665,0.0252984594525966,-0.00767400295860663
"LFxTRC5057",-0.00074050254817807,-0.0137713930378379,-0.0184084495938264
"LFxTRC5058",-0.0170113629859142,0.0163999168632903,-0.0219714883425044
"LFxTRC5059",-0.0055809175068611,0.00793059993975646,0.00477856115499998
"LFxTRC5061",0.0114756069900846,0.0282589988404862,-0.0391034615908368
"LFxTRC5062",-0.0606725082943539,-0.00622524783121913,-0.0199132859504774
"LFxTRC5064",-0.0300008494674088,0.00460724462372397,-0.0186754723852479
"LFxTRC5065",-0.0379100664546259,0.00537177653210066,-0.0314339404982152
"LFxTRC5068",-0.0361579546027606,0.00143149044907677,0.00552872134075989
"LFxTRC5069",-0.0425245819255991,0.00424236713760791,-0.0108567711777968
"LFxTRC5070",0.0105068665717919,-0.00200373683059059,-0.00569393380884811
"LFxTRC5072",-0.0158717034000067,-0.0187481581736927,-0.0217420040278581
"LFxTRC5073",-0.0107719162714534,-0.0347922618852222,-0.031231722591381
"LFxTRC5074",-0.000246614677116546,-0.00945083801127692,0.0197526149304965
"LFxTRC5075",-0.0371455782276218,0.0325583139176505,-0.0224126764175053
"LFxTRC5077",0.000860435779539907,0.0136979031684473,-0.00170089336138929
"LFxTRC5078",0.0113584758295848,-0.00424077283677421,0.0316209275751504
"LFxTRC5079",-0.0202331210840246,0.0122696293803468,0.0303213743603835
"LFxTRC5080",-0.0479244476415932,0.0107023208959809,-0.00530066196693909
"LFxTRC5081",0.0265872070153752,0.0288182703513448,-0.000608828995671583
"LFxTRC5082",-0.024468859458414,0.0233033141584685,0.0276452616730675
"LFxTRC5083",0.0227450213528605,-0.035223668971179,0.0145671576207291
"LFxTRC5084",-0.0356255705830517,0.00954586747541975,-0.0234519227006214
"LFxTRC5085",-0.0088094201463345,0.00731484315309196,-0.00449359863487101
"LFxTRC5086",0.00177078513598758,-0.0168226583501422,-0.0037861769392614
"LFxTRC5087",0.0209348159006601,0.0172948298620718,-0.0347189227919097
"LFxTRC5088",0.00961462580893316,0.016826761602898,-0.0126870258422179
"LFxTRC5089",0.00743076217431127,0.00200482280053595,0.00658926302563544
"LFxTRC5090",0.00297091902936694,-0.00733205336695369,-0.0161603445795664
"LFxTRC5091",-0.00328863100883661,0.00430844231354677,-0.0361896168285357
"LFxTRC5092",-0.0199986949717053,0.0041347298697839,0.00427951630323195
"LFxTRC5093",-0.0296433796350383,-0.0101987080577775,0.00552218569079478
"LFxTRC5094",0.00907732247319338,-0.0036329140983103,-0.0261439759464812
"LFxTRC5095",0.0301992144085572,0.0353847723314277,-0.0108366276307514
"LFxTRC5096",-0.00334440320253407,0.0044150409764696,-0.0401835630567004
"LFxTRC5097",-0.0173649300133346,-0.0101037253002305,-0.0100636098476946
"LFxTRC5098",0.0324144149004194,0.0363830761237879,-0.0143700210010289
"LFxTRC5099",0.0121592462996913,0.0125015347409686,0.0114688485660664
"LFxTRC5100",-0.0140411975685315,-0.0124852419108258,-0.0312299552812868
"LFxTRC5101",0.01171917116385,-0.03336500734873,-0.0154174123293496
"LFxTRC5102",-0.00592843476330798,0.00712067131918397,-0.00129699239579521
"LFxTRC5103",-0.0372681966871333,-0.0271511287140431,-0.00866954446875734
"LFxTRC5104",-0.0173417066053711,-0.0307639772608225,0.0103683405555966
"LFxTRC5105",0.00259787362951068,-0.00497514087354143,0.012638462999224
"LFxTRC5106",-0.0248082743857637,0.00872840019622662,-0.0190553537104844
"LFxTRC5107",-0.000571763782286107,0.0299336952056209,-0.00241121848012799
"LFxTRC5108",-0.000530822851890736,0.00692906226571888,0.0101766749680792
"LFxTRC5109",0.0280632430029465,-0.00163865410725118,-0.00572837002861326
"LFxTRC5110",-0.0318599728507111,0.0217045728789552,-0.0128093768286303
"LFxTRC5111",-0.0211879875334419,-0.0141156727398737,0.00127944420941818
"LFxTRC5112",0.020946606604094,0.0333626987972199,0.00892813433279102
"LFxTRC5113",0.00370934972140524,0.0104972086712296,0.00305827375980665
"LFxTRC5114",-0.0198218657653687,0.02073397601674,0.0074346789905361
"LFxTRC5115",-0.0108179680564719,-0.0187360813511275,-0.024902288731513
"LFxTRC5116",0.00395713634122208,-0.0281391700651561,-0.0241312592005267
"LFxTRC5117",0.00432908831994366,0.00789289892698505,-0.0141884094216488
"LFxTRC5118",-0.00105499840629119,0.00627148030647265,0.00779268141804982
"LFxTRC5119",-0.0145660343628123,-0.0135941899595298,0.00926985818189285
"LFxTRC5120",0.00395200981863839,0.0220384597110683,-0.017101973285487
"LFxTRC5121",-0.029496402275898,-0.00222849524168687,0.0228727191100965
"LFxTRC5122",0.0127090748655804,-0.00577158425080487,-0.0128146768635335
"LFxTRC5123",-0.0265986114119845,-0.00814547233534972,0.0228274498291013
"LFxTRC5124",-0.0110462510632431,-0.0252513262728616,0.0325382403183452
"LFxTRC5125",-0.0286690459727777,-0.0153827751916623,0.0148959292903017
"LFxTRC5126",-0.0058687313170597,0.015535687965136,0.0119992049088067
"LFxTRC5127",-0.00748276792372583,0.0296071982600911,0.0363209590000165
"LFxTRC5128",-0.0304396911619142,-0.00791147199253375,-0.0174830842413216
"LFxTRC5129",-0.0341890502591651,-0.0128964329091093,0.00943514666893996
"LFxTRC5130",0.00120768582559549,0.00841135225123198,0.0212611368484606
"LFxTRC5131",0.0104856837160735,-0.00725233210898175,-0.0242468099275948
"LFxTRC5132",-0.0203228726628953,0.00911218351548929,0.0207067062159261
"LFxTRC5133",-0.00962054653436107,0.0159676668439852,0.000900554016739437
"LFxTRC5134",-0.0084509279529894,-0.000115471384278718,0.0315088003222382
"LFxTRC5135",-0.00611080254900902,0.0246385597479689,-0.0199107453532701
"LFxTRC5136",-0.00356990415210712,-0.0119333920471877,0.00283620961671586
"LFxTRC5137",0.0245495810987456,0.0131032695998558,-0.00654617738037741
"LFxTRC5138",-0.0328358022948493,0.0167302479445311,0.0222082244752577
"LFxTRC5139",-0.026774457815148,-0.00409689053429248,0.0167906839281207
"LFxTRC5140",-0.0176084314408667,0.0223367059098456,0.012165158644921
"LFxTRC5141",-0.0683920431027746,0.00453716992600344,0.030564984428915
"LFxTRC5142",-0.030565311667618,0.0120134931329513,0.0193657247415809
"LFxTRC5143",-0.0136671642965805,-0.0534592882508093,0.0247925149516043
"LFxTRC5164",-0.0125857749904608,-0.00997630894607995,0.00445112393534277
"LFxTRC5165",0.00348938670023618,9.41878637741916e-05,-0.0130494322685845
"LFxTRC5166",-0.00100820055906739,0.00981107223220057,0.0227756887329883
"LFxTRC5167",0.0355092699478736,0.0207939930244441,0.0053108984241351
"LFxTRC5168",-0.00894798906913514,0.0225166047452795,0.0190366318203255
"LFxTRC5169",-0.0609666184951445,0.0206221062527054,0.00390818122081454
"LFxTRC5170",-0.0253789943892417,-0.000502485282331705,0.0266789256428044
"LFxTRC5171",-0.00387081866056334,0.00219523230283138,0.0433927484306525
"LFxTRC5172",-0.0183111773622031,-0.00402703807830315,0.0169251336308011
"LFxTRC5173",-0.0207344596149203,0.0235415174639499,-0.00821565108678967
"LFxTRC5174",-0.00895739002637953,0.00692204119502489,0.0367219416270938
"LFxTRC5175",-0.100554989721343,0.0115978424134046,0.0175776859557945
"LFxTRC5176",-0.00811812971605358,-0.00611263116743301,0.0167146448091339
"LFxTRC5177",-0.0128277624179603,-0.00801714425020288,0.0259846403373506
"LFxTRC5178",-0.0319452216013307,-0.0185740261745368,0.0149551785681166
"LFxTRC5179",-0.0350710576290201,-0.0384109424087222,0.0152765605743294
"LFxTRC5180",0.0377466710354417,0.025041735239633,0.0291217504198942
"LFxTRC5181",-0.0100824627905772,-0.00188828700695075,0.0177613081167115
"LFxTRC5182",-0.0161822015741115,-0.0278069493572827,0.0271222432403393
"LFxTRC5183",-0.0363082019464097,0.0224128514928168,0.0234183849484135
"LFxTRC5184",0.0476494397601887,-0.00392019996528256,0.0279556843726548
"LFxTRC5185",-0.00412258703022877,0.0290154651860836,0.0150664812361733
"LFxTRC5186",0.00527972854978216,0.00429911179638645,0.0104221764999674
"LFxTRC5187",-0.00722461264072123,0.000456528116607125,-0.00399620827694674
"LFxTRC5188",0.00132144178281924,-0.0164433038942684,0.00865755872623871
"LFxTRC5189",-0.0237805913972534,0.00741816052948534,-0.0347397552099778
"LFxTRC5190",0.0234010771324663,-0.00244701599775131,0.000199838499713119
"LFxTRC5191",0.0134810755418031,0.0395763642205324,0.0186554727255468
"LFxTRC5192",-0.0260213853987572,-0.0175831650466626,0.0100767102817083
"LFxTRC5193",-0.0300690266569385,0.00518977197297594,-0.0168189461895677
"LFxTRC5194",-0.0143057683117656,0.00157231037405509,0.0214583739229322
"LFxTRC5195",-0.0325006097831372,-0.0175161655926753,0.0134592182140529
"LFxTRC5196",0.0210251781074148,-0.0163635885852135,0.0297552115865259
"LFxTRC5197",-0.0247510105520234,0.00440511282709983,-0.0114905797046194
"LFxTRC5198",-0.0220588610236541,0.0276851866602368,0.00885641075447432
"LFxTRC5199",-0.0151642200373052,0.000587652556043922,-0.00555843054007327
"LFxTRC5200",-0.0279419987875814,0.0255480450942089,-0.000577823862543039
"LFxTRC5201",0.01405716492121,0.0396122975860114,0.0250631125868725
"LFxTRC5202",0.00621807716363532,0.0243154311192907,0.0164324142422542
"LFxTRC5203",0.0150272902006664,0.0202888406626706,0.027438035944706
"LFxTRC5204",-0.00707271271247243,0.0391148146260045,0.0155949736587768
"LFxTRC5205",-0.0229655213128389,0.0327164426357078,0.0156485060605188
"LFxTRC5206",-0.0449663770093272,0.000650169557239069,-0.00603952679547946
"LFxTRC5207",-0.0320481285587597,0.0245492259437583,0.0185472192446445
"LFxTRC5208",-0.00782475384265164,-0.0164314486477093,-0.0079872344053113
"LFxTRC5209",-0.0690458650549637,0.0216774878235031,0.0268517731932821
"LFxTRC5210",-0.0200821406890716,0.00803834719766763,-0.0178479729154399
"LFxTRC5285",0.026547253736709,0.0065086759141487,-0.000557043255883767
"LFxTRC5301",-0.00503761914924831,-0.0119886669993597,0.00341348824458217
"LFxTRC5302",-0.0247909879561448,-0.0170762663599349,-0.0419936797168026
