"","Comp1","Comp2","Comp3"
"LFxTRC5001",0.0135975738427251,-0.0209134888329148,-0.0243483156713831
"LFxTRC5002",0.0421301819217883,-0.0287913934888738,-0.0013869258463359
"LFxTRC5003",0.0338743818508901,-0.0425690868132468,0.0182678039575026
"LFxTRC5004",0.0243259911348267,-0.033658071797953,-0.0256359270673171
"LFxTRC5005",0.00754411905988711,-0.0305894461950188,-0.0250112286191153
"LFxTRC5007",0.00136014770698512,-0.0539536489026488,0.00386989515670203
"LFxTRC5008",0.0326726654818158,-0.00426483949885994,-0.0037950265682683
"LFxTRC5010",-0.0500430207094974,-0.0355622882344029,0.00832839586221485
"LFxTRC5012",0.0295422809486779,-0.0562861955462279,0.00722168755043261
"LFxTRC5013",-0.0297240932987659,0.00186486185232719,0.0114287284341801
"LFxTRC5014",-0.017689386119593,-0.0314897800956753,0.00272606219050543
"LFxTRC5015",0.00733994104307042,-0.024087393279814,0.000332436513988684
"LFxTRC5016",-0.0194393370653033,-0.0354723130561054,-0.00217214549368477
"LFxTRC5017",-0.0193311528327898,-0.00348867318062351,0.0266824649005124
"LFxTRC5018",-0.029687851961275,0.0212854700812544,-0.00430261731780329
"LFxTRC5019",-0.0669053904093952,-0.0386733638088491,0.0138716007989894
"LFxTRC5022",0.000593432240968934,-0.0381998591967593,-0.0157494905116056
"LFxTRC5030",-0.0538566440822448,0.0265387894983331,0.0029442729342196
"LFxTRC5031",-0.0218682713699497,0.00698292175048445,0.00599456915865312
"LFxTRC5032",-0.0275422637091143,0.052191831385193,-0.0128882410035315
"LFxTRC5033",-0.0379336843722199,-0.0318827589021372,-0.0236582428201914
"LFxTRC5034",-0.0625817095747101,0.0214288849357493,-0.00949653760439578
"LFxTRC5035",-0.0267761851510771,-0.0368317526017364,-0.0397219978076176
"LFxTRC5036",-0.0267144381359353,-0.039046787070646,-0.000528683486481429
"LFxTRC5037",-0.018819325375594,-0.0213331969034573,-0.0174730858396832
"LFxTRC5038",0.0251672805763447,-0.0508479666761651,0.000629177537662917
"LFxTRC5039",-0.0957343071189636,0.00700331817643819,-0.0168233911228689
